,Country_name,area,capital,population,region
129,Malta,316,Valletta,416055,Europe
130,Isle of Man,572,Douglas,84497,Europe
131,Marshall Islands,181,Majuro,56086,Oceania
132,Martinique,,Fort-de-France,386486,Americas
133,Mauritania,1030700,Nouakchott,3545620,Africa
134,Mauritius,2040,Port Louis,1261208,Africa
135,Mayotte,,Mamoudzou,212645,Africa
136,Mexico,1964375,Mexico City,119713203,Americas
137,Federated States of Micronesia,702,Palikir,101351,Oceania
138,Moldova,33846,Chișinău,3557600,Europe
139,Monaco,2.02,Monaco,36950,Europe
140,Mongolia,1564110,Ulan Bator,2987733,Asia
141,Montserrat,102,Plymouth,4922,Americas
142,Morocco,446550,Rabat,33465000,Africa
143,Mozambique,801590,Maputo,25041922,Africa
144,Namibia,825615,Windhoek,2113077,Africa
145,Nauru,21,Yaren,10084,Oceania
146,Nepal,147181,Kathmandu,27646053,Asia
147,Netherlands,41850,Amsterdam,16881000,Europe
148,New Caledonia,18575,Nouméa,268767,Oceania
149,New Zealand,270467,Wellington,4547900,Oceania
150,Nicaragua,130373,Managua,6134270,Americas
151,Niger,1267000,Niamey,17138707,Africa
152,Nigeria,923768,Abuja,178517000,Africa
153,Niue,260,Alofi,1613,Oceania
154,Norfolk Island,36,Kingston,2302,Oceania
155,Northern Mariana Islands,464,Saipan,53883,Oceania
156,Norway,323802,Oslo,5156450,Europe
157,Oman,309500,Muscat,4089076,Asia
158,Pakistan,881912,Islamabad,188410000,Asia
159,Palau,459,Ngerulmud,20901,Oceania
160,Panama,75417,Panama City,3713312,Americas
161,Papua New Guinea,462840,Port Moresby,7398500,Oceania
162,Paraguay,406752,Asunción,6893727,Americas
163,Peru,1285216,Lima,30814175,Americas
164,Philippines,342353,Manila,100697400,Asia
165,Pitcairn Islands,47,Adamstown,56,Oceania
166,Poland,312679,Warsaw,38496000,Europe
167,Portugal,92090,Lisbon,10477800,Europe
168,Puerto Rico,8870,San Juan,3615086,Americas
169,Qatar,11586,Doha,2269672,Asia
170,Réunion,,Saint-Denis,840974,Africa
171,Romania,238391,Bucharest,19942642,Europe
172,Russia,17124442,Moscow,146233000,Europe
173,Rwanda,26338,Kigali,10996891,Africa
174,Saint Helena,,Jamestown,4255,Africa
175,Saint Kitts and Nevis,261,Basseterre,55000,Americas
176,Saint Lucia,616,Castries,184000,Americas
177,Saint Pierre and Miquelon,242,Saint-Pierre,6081,Americas
178,Saint Vincent and the Grenadines,389,Kingstown,109000,Americas
179,Samoa,2842,Apia,187820,Oceania
180,San Marino,61,City of San Marino,32743,Europe
181,São Tomé and Príncipe,964,São Tomé,187356,Africa
182,Saudi Arabia,2149690,Riyadh,30770375,Asia
183,Scotland,,,,
184,Senegal,196722,Dakar,13508715,Africa
185,Serbia,49037,Belgrade,7186862,Europe
186,Seychelles,452,Victoria,89949,Africa
187,Sierra Leone,71740,Freetown,6205000,Africa
188,Singapore,710,Singapore,5469700,Asia
189,Slovakia,49037,Bratislava,5415949,Europe
190,Slovenia,20273,Ljubljana,2064966,Europe
191,Solomon Islands,28896,Honiara,581344,Oceania
192,Somalia,637657,Mogadishu,10806000,Africa
193,South Africa,1221037,Pretoria,54002000,Africa
194,South Georgia,,King Edward Point,30,Americas
195,South Sudan,619745,Juba,11384393,Africa
196,Spain,505992,Madrid,46507760,Europe
197,Sri Lanka,65610,Colombo,20277597,Asia
198,Sudan,1886068,Khartoum,37289406,Africa
199,Suriname,163820,Paramaribo,534189,Americas
200,Svalbard and Jan Mayen,,Longyearbyen,2562,Europe
201,Swaziland,17364,Lobamba,1106189,Africa
202,Sweden,450295,Stockholm,9737521,Europe
203,Switzerland,41284,Bern,8183800,Europe
204,Syria,185180,Damascus,22964324,Asia
205,Taiwan,36193,Taipei,23424615,Asia
206,Tajikistan,143100,Dushanbe,8161000,Asia
207,Tanzania,945087,Dodoma,47421786,Africa
208,Thailand,513120,Bangkok,64871000,Asia
209,East Timor,14874,Dili,1172390,Asia
210,Togo,56785,Lomé,6993000,Africa
211,Tokelau,12,Fakaofo,1411,Oceania
212,Tonga,747,Nuku'alofa,103252,Oceania
213,Trinidad and Tobago,5130,Port of Spain,1328019,Americas
214,Tunisia,163610,Tunis,10982754,Africa
215,Turkey,783562,Ankara,76667864,Asia
216,Turkmenistan,488100,Ashgabat,5838064,Asia
217,Tuvalu,26,Funafuti,11323,Oceania
218,Uganda,241550,Kampala,34856813,Africa
219,Ukraine,603700,Kiev,42973696,Europe
220,United Arab Emirates,83600,Abu Dhabi,9446000,Asia
221,United Kingdom,242900,London,64105654,Europe
222,United States,9629091,Washington D.C.,319259000,Americas
223,Uruguay,181034,Montevideo,3404189,Americas
224,Uzbekistan,447400,Tashkent,30492800,Asia
225,Vanuatu,12189,Port Vila,264652,Oceania
226,Venezuela,916445,Caracas,30206307,Americas
227,Vietnam,331212,Hanoi,89708900,Asia
228,Wales,,,,
229,Wallis and Futuna,142,Mata-Utu,13135,Oceania
230,Western Sahara,266000,El Aaiún,586000,Africa
231,Yemen,527968,Sana'a,25956000,Asia
232,Zambia,752612,Lusaka,15023315,Africa
233,Zimbabwe,390757,Harare,13061239,Africa
